Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
37.0,self enquiry,1,16.0,salaried,female,2,3.0,basic,5.0,married,1.0,1,3,1,0.0,executive,17782.0,0
39.0,self enquiry,2,8.0,salaried,female,2,4.0,deluxe,3.0,married,1.0,0,3,1,0.0,manager,20204.0,0
40.0,self enquiry,3,8.0,salaried,female,3,3.0,king,3.0,divorced,1.0,0,3,0,0.0,vp,33041.0,0
29.0,company invited,1,9.0,salaried,male,3,5.0,basic,3.0,divorced,3.0,1,4,1,1.0,executive,22545.0,0
34.0,self enquiry,2,9.0,salaried,male,3,4.0,basic,3.0,divorced,3.0,0,2,0,1.0,executive,22278.0,0
58.0,self enquiry,1,7.0,small business,male,3,4.0,deluxe,3.0,married,4.0,0,3,0,2.0,manager,25433.0,0
44.0,self enquiry,1,10.0,small business,male,2,3.0,deluxe,4.0,single,1.0,0,2,1,0.0,manager,20933.0,0
38.0,self enquiry,1,7.0,salaried,female,3,4.0,basic,3.0,single,3.0,0,1,1,1.0,executive,20793.0,0
45.0,self enquiry,2,7.0,small business,male,4,5.0,standard,5.0,married,2.0,0,4,1,1.0,senior manager,29160.0,1
38.0,company invited,1,16.0,small business,male,3,3.0,basic,3.0,divorced,1.0,0,5,0,2.0,executive,17684.0,0
50.0,self enquiry,1,7.0,large business,female,3,5.0,super deluxe,3.0,single,2.0,1,3,0,1.0,avp,32642.0,0
29.0,self enquiry,1,10.0,large business,female,3,4.0,basic,5.0,married,2.0,0,4,0,0.0,executive,17109.0,0
54.0,self enquiry,1,9.0,large business,female,4,5.0,standard,3.0,married,2.0,0,5,1,3.0,senior manager,28847.0,1
59.0,self enquiry,1,30.0,small business,female,4,4.0,standard,3.0,divorced,3.0,0,3,1,1.0,senior manager,28990.0,1
27.0,company invited,1,8.0,small business,male,2,3.0,basic,3.0,single,3.0,0,3,0,1.0,executive,17580.0,0
48.0,self enquiry,1,16.0,salaried,female,4,4.0,basic,3.0,single,6.0,0,3,1,1.0,executive,20783.0,0
36.0,self enquiry,1,16.0,salaried,male,4,5.0,deluxe,4.0,single,2.0,0,1,0,2.0,manager,25218.0,0
55.0,self enquiry,3,10.0,small business,female,3,4.0,deluxe,5.0,married,4.0,0,4,1,1.0,manager,24618.0,0
28.0,company invited,1,15.0,salaried,male,3,6.0,basic,3.0,married,3.0,0,1,1,2.0,executive,23299.0,0
27.0,self enquiry,3,11.0,small business,male,3,5.0,deluxe,3.0,single,3.0,1,1,1,1.0,manager,24506.0,1
32.0,self enquiry,1,14.0,small business,female,3,1.0,deluxe,3.0,divorced,6.0,0,3,1,2.0,manager,20175.0,0
26.0,self enquiry,1,7.0,salaried,female,4,4.0,deluxe,3.0,divorced,2.0,0,3,1,2.0,manager,23576.0,0
30.0,self enquiry,1,7.0,large business,male,3,4.0,basic,3.0,single,2.0,0,1,0,1.0,executive,20736.0,1
47.0,self enquiry,3,17.0,small business,female,4,5.0,standard,3.0,married,4.0,1,1,0,1.0,senior manager,27749.0,0
28.0,self enquiry,1,11.0,salaried,female,4,4.0,basic,3.0,single,3.0,0,1,0,1.0,executive,20996.0,0
43.0,self enquiry,1,8.0,small business,female,3,2.0,basic,3.0,married,2.0,0,2,0,1.0,executive,17645.0,0
45.0,self enquiry,1,17.0,salaried,male,3,4.0,deluxe,3.0,married,4.0,1,3,0,2.0,manager,25143.0,0
49.0,self enquiry,3,9.0,small business,male,3,2.0,deluxe,4.0,married,5.0,0,3,0,2.0,manager,26798.0,0
48.0,self enquiry,1,11.0,salaried,female,4,5.0,standard,4.0,married,2.0,1,4,1,3.0,senior manager,29011.0,0
31.0,company invited,1,30.0,salaried,male,4,6.0,basic,3.0,married,3.0,0,3,0,1.0,executive,21291.0,0
37.0,self enquiry,3,17.0,large business,female,4,5.0,deluxe,3.0,married,3.0,1,1,1,3.0,manager,24351.0,0
54.0,self enquiry,1,30.0,salaried,female,4,4.0,super deluxe,3.0,single,8.0,0,5,1,2.0,avp,32953.0,0
45.0,self enquiry,1,26.0,small business,male,3,3.0,super deluxe,3.0,divorced,1.0,1,3,0,0.0,avp,28496.0,0
32.0,self enquiry,1,8.0,salaried,male,3,3.0,basic,4.0,single,2.0,0,3,1,1.0,executive,16393.0,1
27.0,self enquiry,1,7.0,small business,male,4,4.0,basic,5.0,single,2.0,0,5,1,3.0,executive,21545.0,0
33.0,company invited,1,12.0,salaried,female,3,2.0,basic,3.0,single,5.0,1,1,0,2.0,executive,21110.0,1
25.0,self enquiry,1,6.0,large business,male,2,3.0,basic,3.0,divorced,5.0,0,5,1,1.0,executive,18229.0,0
32.0,self enquiry,2,15.0,small business,female,4,2.0,basic,4.0,single,2.0,0,1,0,3.0,executive,20787.0,0
38.0,company invited,1,18.0,salaried,male,3,4.0,standard,3.0,married,3.0,1,3,1,2.0,senior manager,30863.0,0
29.0,self enquiry,1,13.0,small business,female,3,4.0,basic,3.0,married,7.0,0,5,1,1.0,executive,17532.0,0
28.0,self enquiry,3,16.0,small business,male,3,3.0,basic,4.0,married,2.0,0,5,0,2.0,executive,16052.0,0
30.0,company invited,3,18.0,salaried,male,3,4.0,basic,5.0,married,2.0,0,5,1,2.0,executive,17033.0,1
34.0,self enquiry,1,21.0,small business,female,4,4.0,basic,4.0,divorced,3.0,0,5,0,1.0,executive,21434.0,0
39.0,self enquiry,1,17.0,small business,female,4,4.0,deluxe,3.0,divorced,5.0,0,3,1,3.0,manager,28502.0,0
43.0,self enquiry,1,13.0,salaried,female,2,3.0,standard,5.0,divorced,1.0,0,5,1,0.0,senior manager,24985.0,0
51.0,self enquiry,1,24.0,salaried,female,3,5.0,standard,5.0,married,7.0,0,3,1,1.0,senior manager,31947.0,0
37.0,self enquiry,1,13.0,salaried,female,3,2.0,basic,3.0,married,5.0,0,1,0,1.0,executive,21716.0,0
57.0,company invited,1,7.0,salaried,male,3,4.0,deluxe,3.0,married,3.0,0,3,0,1.0,manager,24984.0,0
33.0,company invited,1,9.0,salaried,male,4,4.0,basic,3.0,single,2.0,0,5,1,2.0,executive,21746.0,0
51.0,self enquiry,1,12.0,salaried,male,2,3.0,king,3.0,single,1.0,0,5,1,0.0,vp,34537.0,0
27.0,company invited,3,6.0,small business,male,3,3.0,deluxe,4.0,married,1.0,1,1,0,1.0,manager,21349.0,0
42.0,self enquiry,1,23.0,salaried,female,2,1.0,deluxe,5.0,single,4.0,1,1,1,1.0,manager,21545.0,0
27.0,company invited,3,14.0,salaried,male,2,3.0,standard,3.0,single,2.0,0,2,1,0.0,senior manager,23726.0,0
45.0,self enquiry,1,17.0,salaried,male,4,4.0,basic,3.0,single,3.0,1,3,1,1.0,executive,21614.0,1
32.0,self enquiry,2,25.0,salaried,male,3,2.0,basic,5.0,married,2.0,0,1,1,1.0,executive,21634.0,1
29.0,self enquiry,1,6.0,salaried,female,2,4.0,super deluxe,3.0,married,4.0,0,2,0,1.0,avp,31124.0,0
46.0,company invited,1,14.0,salaried,male,4,3.0,deluxe,3.0,divorced,6.0,0,2,0,3.0,manager,25112.0,0
40.0,self enquiry,1,7.0,small business,male,3,2.0,standard,3.0,married,2.0,0,3,1,1.0,senior manager,28291.0,0
28.0,company invited,1,31.0,salaried,male,4,5.0,basic,3.0,single,3.0,1,3,1,2.0,executive,21212.0,1
49.0,self enquiry,1,7.0,salaried,male,4,5.0,standard,3.0,single,2.0,1,5,0,1.0,senior manager,24059.0,1
45.0,self enquiry,1,9.0,salaried,female,4,2.0,standard,3.0,married,3.0,1,4,1,1.0,senior manager,26557.0,0
56.0,self enquiry,3,33.0,small business,male,3,5.0,king,3.0,married,3.0,0,3,1,2.0,vp,38264.0,0
39.0,self enquiry,1,9.0,salaried,male,3,4.0,basic,3.0,single,7.0,1,1,0,1.0,executive,22622.0,0
